"ERR4507911";"ERR4507912";"ERR4507913";"ERR4507914";"ERR4507915";"ERR4507916"
0;0;0;0;0;0
283;95;277;321;170;623
0;0;0;0;0;0
4015;1724;4320;3980;1997;8814
1759;1132;2096;1617;1069;4451
0;0;0;1;0;4
760;366;838;555;300;1477
474;126;490;405;216;780
147;94;164;153;94;333
45;10;14;45;20;52
3038;1407;3280;2065;1507;6065
2;0;1;0;0;1
7205;3189;7575;5148;3235;12575
720;424;630;483;274;1191
0;0;0;0;0;0
1159;859;1363;1181;757;2682
1656;724;1777;1228;763;3531
2253;1183;2301;1915;933;3909
256;109;279;191;131;437
4075;2351;4620;3361;2143;8675
739;411;682;582;416;1264
0;0;0;0;0;0
11;2;6;7;6;17
6614;3855;8073;5481;3515;16116
4325;1605;4203;3330;2169;8129
1520;779;1488;1527;785;2832
3727;1598;4160;2699;1871;6895
390;160;354;359;223;910
1584;633;1625;1473;863;3464
577;248;640;587;332;1043
323;160;342;327;195;853
2005;897;2193;2008;997;3926
387;261;594;452;306;1159
2857;1623;3037;2245;1642;5294
319;91;318;284;158;692
493;286;540;267;131;575
4;2;10;7;5;13
0;0;0;1;0;0
2141;809;2265;1936;1316;4503
3240;1421;3245;2902;1506;5836
263;96;309;200;155;671
141;106;141;162;102;327
2730;1451;3197;2406;1684;6581
0;0;2;0;0;2
9419;3152;10040;6856;5003;19855
3775;2081;4449;3452;2038;8317
116;66;131;122;97;242
731;308;852;831;413;1545
351;230;475;410;176;772
1113;473;1084;993;471;1856
5083;2842;5287;4157;2341;8962
4;2;6;2;1;5
0;0;2;0;0;0
673;344;842;581;327;1616
523;163;591;473;313;1158
1;0;4;2;0;1
2900;1690;3502;2754;1826;7680
52;11;27;16;10;15
2;2;0;0;0;2
1499;708;1658;1407;831;3469
11;3;6;5;11;9
87;30;112;109;56;210
2;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
979;438;1095;843;467;2302
6311;2667;6588;5003;3271;12340
0;0;0;0;0;1
3;2;4;5;0;3
8143;4306;9028;6340;3952;16602
578;317;635;503;234;868
15;14;44;16;6;43
17;4;25;17;2;54
5886;3219;6790;3374;2298;9239
8425;3945;9552;6385;3412;14154
0;0;0;0;0;0
1178;614;1300;956;582;2275
0;0;0;1;0;2
809;337;864;750;426;1484
464;178;415;414;187;751
0;3;3;2;2;4
3077;1825;3621;1547;1365;5192
0;0;0;0;0;0
721;300;779;76;89;411
180;104;169;229;119;533
0;2;2;0;0;0
1214;838;1278;54;42;140
9;5;15;12;2;15
0;0;0;0;0;0
1185;673;1215;1118;689;2529
791;403;1004;542;387;1306
673;443;903;574;411;1905
0;0;0;0;0;0
622;379;659;662;375;1375
940;564;1033;1002;489;2198
1309;709;1383;581;280;1116
75;38;67;70;43;135
1541;666;1641;1232;775;2813
98;42;82;63;38;139
1435;590;1390;1495;678;2907
0;0;0;0;0;0
8;2;9;6;13;7
3372;1498;3848;2746;1635;6364
0;0;2;0;0;0
422;243;560;313;213;887
2683;1360;3020;2308;1408;5680
391;168;421;352;205;895
0;0;0;0;0;0
2629;1639;3036;2331;1559;6054
3714;1553;4262;3239;1935;8319
0;0;0;0;0;0
1850;853;1970;1036;941;3245
272;182;350;306;177;687
3633;1966;3799;3310;2068;7703
206;98;231;234;97;450
1200;682;1367;1042;572;2751
109;44;121;64;46;187
4459;2546;6017;3988;2600;11070
5634;2396;5634;4823;2713;10345
3771;1923;4072;4207;2013;7298
2648;1314;2594;2217;1256;5245
1077;556;1196;924;514;2165
167;74;109;309;104;283
2360;1013;2303;2254;1099;3992
1146;544;1301;1302;479;2061
3316;1763;3512;4108;1624;6612
875;401;966;620;431;1863
3562;1583;4041;2706;1983;7755
33;19;29;46;13;53
5;4;3;6;0;4
702;454;1002;714;400;1984
2077;856;2125;1507;890;3467
2180;972;2158;1840;1203;4422
402;353;503;343;278;901
2565;1322;2867;2347;1508;5850
272;100;284;303;137;493
2472;951;2513;2049;1280;5283
1305;589;1331;1429;854;3163
1972;876;1983;1690;1131;4230
46;25;76;37;48;128
82;43;137;152;46;277
151;66;157;155;81;264
2571;1065;3498;2215;1385;5665
1309;839;1721;1159;762;2933
1176;608;1243;1180;587;2113
5112;2260;5125;3977;2519;9491
26815;14005;28107;19071;14826;50697
188;45;157;114;113;349
377;143;331;336;217;662
658;429;750;508;397;1701
3621;1834;3672;2697;1556;5691
59;55;77;86;39;169
1059;492;1208;945;521;1982
0;0;0;0;0;0
455;177;421;391;331;1166
641;345;798;572;315;1542
945;398;857;739;454;1816
115;94;158;136;71;282
3103;1299;3145;2118;944;3670
394;203;537;394;273;965
1;0;0;0;0;2
1095;498;1149;880;564;1967
0;0;4;0;0;0
2371;1226;2482;2340;1257;4646
5;1;2;6;2;7
1408;789;1596;1268;776;2626
2623;1013;2689;2317;1439;5207
617;370;828;621;376;1339
6555;2633;7787;4987;3245;14059
7932;3768;8017;7441;3847;13871
3669;1859;4154;3097;1806;7291
43;15;50;27;19;53
7;11;9;13;3;52
265;122;331;290;166;635
1217;845;1301;1305;632;2747
5912;2788;6616;3906;2879;12064
3473;1156;3661;2234;1364;5326
1245;455;1488;1139;801;3208
0;0;0;1;0;0
51;23;64;68;24;85
18549;9746;23041;18049;10578;41970
2215;1020;2395;2321;1103;4196
10;6;6;0;2;2
658;223;692;568;348;1152
8472;4439;9194;14248;4914;18267
2868;1718;3383;2784;1707;6720
322;176;345;469;248;821
78;19;125;187;53;229
3345;1715;4087;3030;1959;7543
762;338;806;719;355;1296
467;181;532;324;296;1028
1084;532;1057;1605;536;2109
590;222;636;453;310;1091
1388;690;1720;814;616;2526
8;2;14;8;4;24
975;458;965;770;490;1976
4845;1948;4813;4241;2436;8611
324;214;325;384;155;615
1516;828;1453;1129;637;2274
963;495;883;944;571;2026
3144;1543;3812;2330;1349;5371
1307;1019;1811;1212;843;3715
356;172;419;229;145;599
0;0;3;0;0;3
36492;15260;40143;27036;20729;90916
486;187;453;275;168;747
3325;1685;3167;1942;1013;3743
1057;425;1157;746;458;1960
2172;785;2401;1768;1141;4845
0;0;0;0;0;0
136;45;130;121;104;258
2687;1502;3167;2460;1557;6319
12754;7888;13741;6552;4534;17350
1820;712;1931;1409;1055;3974
63;28;52;54;25;78
1333;831;1606;1170;655;2599
2079;815;2226;1786;1022;3992
2;0;0;0;0;1
6866;3345;6776;5370;3677;13411
2847;1451;2910;2740;1446;5476
2758;1330;2927;2443;1273;4849
3635;1980;4001;2944;1777;6769
0;0;0;0;0;0
0;0;0;0;0;0
13;14;19;6;3;39
1950;947;2108;2468;1060;4526
0;0;0;0;0;0
78;36;82;82;58;219
1;1;8;3;0;8
298;194;325;307;212;622
827;346;823;704;419;1666
7;7;12;13;3;25
2914;1547;2891;2352;1341;4879
1162;598;1314;1328;729;2602
3203;1301;3624;2498;1571;5772
460;304;545;393;292;1279
553;117;438;319;177;724
14;5;0;9;2;6
464;235;564;494;220;1092
3369;1212;3680;2935;1693;6499
2047;1049;1801;1734;952;3120
3140;1123;3277;2451;1839;7156
786;503;1427;460;381;2082
3559;2510;4236;3261;2014;7310
4981;2677;5633;4741;2814;10568
8971;4987;11396;7379;5285;21383
961;602;1002;919;525;1874
696;314;612;908;259;1133
148;60;128;92;55;250
4788;2085;5048;4051;2415;8969
74;28;74;62;28;100
4834;1865;5058;3798;2260;9086
151;82;125;95;67;188
0;0;0;0;0;0
6833;3730;7061;5323;2416;9197
0;2;5;0;0;1
966;397;977;753;557;1886
2;3;0;0;1;2
1644;666;1548;954;581;2391
4533;2274;5028;2872;1335;5293
3218;1737;3547;2689;1499;5662
401;252;541;372;244;1015
323;178;364;344;194;675
763;694;1311;539;538;2389
1143;604;1313;1291;723;2970
0;0;0;0;0;3
1620;836;1927;1429;976;3342
319;132;297;251;179;464
7572;3533;8312;5966;3929;15606
3;1;1;1;2;6
2070;969;2175;1918;958;3841
119;56;131;123;75;219
87;57;93;115;51;91
317;218;536;519;246;1205
10;8;14;19;10;49
822;420;895;678;442;1800
150;63;168;211;132;429
0;0;0;0;0;0
168;70;167;189;111;379
526;209;588;377;261;978
1631;842;1811;1731;980;3432
292;149;319;286;193;722
2304;837;2635;1923;1313;5506
13;7;9;9;3;15
0;0;0;0;0;0
15;10;11;12;7;44
2;0;4;2;0;4
2;2;10;1;0;2
4174;1636;4104;3333;2082;8033
939;439;948;1018;708;2300
1360;825;1271;1002;543;1807
0;0;0;0;0;0
664;270;665;712;335;1248
14;8;15;20;9;25
0;0;0;0;0;0
1234;636;1381;992;699;2744
26097;14614;28650;21229;13776;51870
792;456;878;718;422;1655
748;385;792;754;428;1666
1;0;5;8;5;10
10258;2268;10314;7258;4609;15746
6068;2855;6728;5452;3333;12429
437;188;519;471;275;1111
1418;678;1349;1366;712;2275
64;28;57;80;26;120
23;9;33;28;15;25
1538;683;1553;1383;808;3401
716;336;657;450;366;1367
2916;1343;3340;2621;1504;5786
1232;557;1397;1159;697;3026
1875;648;1939;1583;999;3919
5177;2437;5597;4268;2637;10299
370;110;345;348;173;547
2431;1119;2602;929;462;1728
9634;5533;10793;8446;4987;19120
721;204;387;677;211;652
705;357;757;654;376;1333
269;157;339;343;153;680
90;53;102;60;44;169
17;10;23;18;4;20
565;296;614;423;285;1077
1088;553;1172;897;535;1737
1314;836;1433;1153;628;2655
7;6;5;2;1;19
2;2;3;0;2;9
3064;1807;3048;2614;1487;5815
1909;972;2176;1648;869;3536
6;7;11;2;1;21
2206;966;2247;2021;1051;4368
270;113;227;223;115;335
1411;621;1836;1286;887;3707
344;146;401;308;199;815
90;39;92;89;66;184
3274;1263;3611;2948;1687;6568
933;407;951;782;414;1543
2;1;3;3;1;9
383;231;441;334;240;906
1488;697;1917;1844;940;4490
2118;1003;2266;2495;1066;4396
0;0;0;0;0;0
1834;895;2075;2035;983;3787
2153;913;2295;2086;1065;4584
7;6;5;11;0;9
7394;3886;7905;6271;3739;14632
713;463;738;650;383;1424
245;163;331;75;66;256
161;58;187;104;74;338
1005;351;1043;879;524;1955
40;24;40;59;25;114
1721;1003;1894;1692;900;3511
4882;2285;5022;3517;2602;10012
1006;591;1128;1112;632;2337
0;0;0;0;0;0
7;1;3;16;0;2
18;3;4;13;5;25
1730;911;2134;1451;990;3824
2277;1137;2313;2013;1139;4338
0;0;0;0;0;0
2005;992;2510;1691;1104;4967
1282;696;1269;1222;762;2555
5226;2406;6055;3059;2382;9482
1948;1032;2087;2175;1035;4104
5;2;6;5;5;6
8;12;33;19;11;37
3780;1999;4362;3462;2064;9100
506;264;570;792;315;1220
178;101;155;216;100;433
1971;832;1970;1354;890;3353
4178;2500;5102;3664;2365;9849
334;145;366;309;165;728
139;92;119;128;71;247
1474;913;1621;1224;763;3147
1521;743;1717;1252;726;2878
726;256;666;787;454;1529
1237;556;1465;1046;691;2813
41;19;46;29;30;98
11;2;6;4;0;8
0;0;0;0;0;0
3424;1611;3470;2838;1682;6426
30;13;45;24;14;69
1518;1085;1704;928;587;2390
523;254;636;511;282;1153
2462;1387;3001;2454;1047;3582
700;477;971;926;519;2201
609;207;700;444;352;1253
1519;737;1668;1296;848;3318
1106;501;1170;902;552;2012
1859;1142;2575;1776;1259;6135
896;590;1398;606;511;2486
2178;1080;2403;1917;1335;4966
3071;1583;3274;2816;1803;6550
994;624;1098;1094;569;2160
5;9;16;10;9;37
3491;1388;3633;2946;1612;6160
727;346;812;589;389;1160
519;236;583;469;279;1078
12001;4909;14029;8741;6212;23138
2588;1442;2751;2479;1030;4317
10;8;12;12;1;25
0;0;0;0;0;0
1258;571;1456;1098;601;2693
3;0;2;4;2;4
1384;653;1836;1058;876;3856
1917;970;2219;1739;1046;3969
9;6;15;18;3;20
321;161;389;303;171;765
17;4;15;30;9;31
4;4;1;5;1;11
4109;1940;4494;3535;1688;6868
1685;650;1628;1445;869;3010
717;243;687;615;410;1251
58;26;69;45;30;156
2614;995;2863;2345;1483;6035
7052;3602;7112;6346;3396;12725
930;462;1232;856;587;2475
36;17;35;34;20;62
165;72;145;171;101;277
2067;1029;2190;2240;1335;4924
48;16;19;29;37;84
491;195;523;589;231;1007
2;2;1;0;0;2
142;55;213;120;62;315
3106;1272;3240;2234;1414;5461
577;344;570;303;155;664
809;422;899;683;498;1947
4783;2470;5431;4290;2576;12781
206;115;248;190;110;404
2762;1227;2893;1871;1206;4397
0;0;0;0;0;0
0;0;0;0;0;0
0;0;1;0;0;1
2755;1440;2993;2149;1463;5656
552;289;692;291;185;756
17;1;5;8;4;13
3300;1782;3360;2625;1556;5902
6325;2279;6971;4434;3258;12663
31;8;16;17;15;54
1424;645;1435;1069;703;2713
1227;496;1350;1135;595;2396
2583;1432;2835;2342;1462;5431
1808;1422;1717;1917;823;2965
2883;1416;3200;2620;1556;6378
3347;1986;3683;2718;1792;7460
877;526;931;995;448;1545
1299;811;1427;1273;730;3076
394;170;416;402;177;671
4;3;4;2;0;12
1820;750;2038;1749;1136;4039
810;514;1139;728;456;2257
1;3;1;1;2;5
0;2;0;0;0;2
652;315;814;594;374;1593
6862;4052;7150;6521;2925;11270
614;381;641;634;320;1299
2;2;3;0;1;14
2;0;0;0;0;0
10;5;2;6;5;7
6486;3185;7107;4562;2874;11111
89;32;69;95;33;163
145;107;153;186;96;416
97;42;117;91;81;266
9294;4698;10406;6344;4930;18442
0;0;0;0;0;0
2994;1047;3049;1950;1208;4973
1935;1024;2025;2093;993;4234
6;10;22;3;4;29
0;0;0;0;0;0
13965;7055;15112;11730;7629;28537
2;4;5;0;0;1
1768;631;2065;1580;919;3595
163;53;158;228;72;365
1766;837;2097;1749;928;4366
1250;580;1367;1275;715;2950
497;187;597;443;263;1104
8898;4515;10410;6575;4105;16151
2412;1149;2997;1613;885;4041
1090;555;1181;1029;533;2262
9360;4338;10290;7465;5139;19298
5102;3039;5437;4636;2426;8843
9;4;2;3;0;1
121;76;180;116;65;317
